coluna,tipo,descricao,valores_possiveis,exemplo,fonte_dado,completude_estimada,observacoes_criticas
lead_id,string,Identificador único do lead gerado automaticamente pelo Monday.com,string numérica de 11 dígitos,11877777149,Monday.com — campo item_id,100%,Chave primária. Imutável.
nome,string,Nome completo (ou nome da organização) conforme cadastrado no CRM,texto livre,Paula Oliveira Lemos,Monday.com — coluna name,100%,"Para leads PJ, pode conter o nome do contato, não da empresa."
particao,categórico,"Indica se o lead pertence ao conjunto de treino ou de inferência. 'historico' = desfecho conhecido, usado para calibrar o modelo. 'ativo' = lead em aberto, alvo da otimização.",historico | ativo,historico,Derivado do status_funil,100%,Leads ativos nunca devem ser usados como rótulo em treino supervisonado.
status_funil,categórico,Etapa atual do lead no funil comercial da BFC,Não Iniciado | Em Negociação | Fechou Ganho | Não Fechou,Em Negociação,Monday.com — coluna color_mkxcdse9,100%,Atualizado manualmente pela equipe. Pode haver atraso de atualização.
converteu,inteiro / NULL,Rótulo de conversão. Indica se o lead fechou negócio.,0 = Não fechou | 1 = Fechou Ganho | NULL = lead ativo (resultado desconhecido),1,Derivado de status_funil,~55% preenchido (apenas histórico),NULL não significa negativo. É simplesmente ausência de desfecho ainda.
tipo_cliente,categórico,Classificação jurídica do cliente,PF = Pessoa Física | PJ = Pessoa Jurídica | NULL = não informado,PF,Monday.com — coluna color_mm0qw9x6,~60% preenchido,PJ tende a ter Vt muito maior que PF. Impacta diretamente o peso da aresta w.
interesse_nivel,categórico,Nível de interesse declarado ou inferido a partir do comportamento do lead. Proxy principal para a probabilidade de conversão Pᶜ.,Muito Alto = perguntou dia e horário disponíveis | Alto = perguntou quanto custa | Médio = perguntou como funciona | Moderado = fechamento por indicação | Baixo = perguntou o que é | NULL = não informado,Alto,Monday.com — coluna color_mkx7w22x,~30% preenchido,ATENÇÃO: campo preenchido principalmente em leads bem atendidos. Há viés de seleção: leads perdidos raramente têm o campo preenchido. A taxa de conversão de 100% por nível no histórico é um artefato desse viés.
interesse_produto,categórico,Produto ou serviço de interesse declarado pelo lead no momento da captação,Turismo Regenerativo | Adoção de Corais | Projetos PDI e ESG | EducaBio | Produtos BFC&VC | Associado e/ou Entusiastas | Patrocinador | Newsletter | Parceiros & Anuentes | NULL,Projetos PDI e ESG,Monday.com — coluna color_mm2x8eax,~15% preenchido,"Relevante para definir o fator de afinidade A(li, vj) por vendedor."
responsavel,string,Nome do membro da equipe responsável pela condução do lead no funil,Marcela Belo | Talita Guedes | Maria Paula | Karoline Melo | Eduarda Malafaia | Ruda Fernandes | NULL,Marcela Belo,Monday.com — coluna multiple_person_mkvaspjx,~55% preenchido,Representa o vendedor vj no grafo bipartido. NULL indica lead sem atribuição.
data_criacao,data (YYYY-MM-DD),Data em que o lead foi criado no sistema Monday.com,formato ISO 8601,2026-04-29,Monday.com — campo created_at,100%,Usado para calcular dias_no_funil.
data_inicio_negociacao,data (YYYY-MM-DD) / NULL,Data em que a negociação foi formalmente iniciada com o lead,formato ISO 8601 ou NULL,2026-02-20,Monday.com — coluna date_mktddryr,~35% preenchido,"Quando ausente, usa-se data_criacao como aproximação."
dias_no_funil,inteiro,Número de dias desde a data de criação do lead até a data de referência do dataset (2026-05-29),inteiro >= 0,30,Calculado: DATA_REF - data_criacao,100%,Leads com muitos dias sem interesse declarado recebem decaimento exponencial em pc_estimado.
pc_estimado,"float [0, 1]",Probabilidade estimada de conversão do lead. Parâmetro Pᶜ(li) do modelo de otimização.,valor entre 0.0 e 1.0,0.65,Derivado: tabela de priors por interesse_nivel + decaimento por tempo,"100% (mas baseado em estimativas, não em dado real para a maioria)","Priors: Muito Alto=0.85, Alto=0.65, Médio=0.45, Moderado=0.55, Baixo=0.20, NULL=0.10. Deve ser recalibrado com histórico acumulado a cada ciclo."
pc_fonte,categórico,"Indica como pc_estimado foi calculado, para rastreabilidade",prior_interesse = baseado no interesse_nivel declarado | prior_sem_dado = prior mínimo por ausência de campo,prior_interesse,Derivado,100%,Nenhum valor ainda usa calibração empírica por ausência de base histórica suficiente.
vt_estimado_RS,float,Valor estimado do contrato em reais. Parâmetro Vt(li) do modelo.,valor numérico em R$,12000.0,"Monday.com — coluna numeric_mkzc344p (quando preenchida) | estimativa por tipo_cliente (quando ausente): PJ=R$12.000, PF=R$2.500",~1% com dado real; ~99% estimado,DADO CRÍTICO AUSENTE. Campo quase nunca preenchido no CRM. Ação necessária: tornar campo obrigatório no processo comercial.
vt_fonte,categórico,Indica a origem do valor em vt_estimado_RS,campo_monday = valor real preenchido no CRM | estimativa_segmento = mediana estimada por tipo_cliente,estimativa_segmento,Derivado,100%,Usar apenas campo_monday para análises financeiras precisas.
t_atendimento_h,float,Tempo médio estimado de atendimento do lead em horas. Parâmetro t(li) na restrição de capacidade do modelo Knapsack.,valor numérico em horas,1.5,"Estimativa consensual da equipe: PJ=3.0h, PF=1.5h, desconhecido=2.0h",100% (estimativa; não há cronometragem real),DADO AUSENTE. Não existe registro real de horas de atendimento. Ação necessária: registrar tempo por lead em projeto piloto.
t_fonte,categórico,Indica a origem do valor em t_atendimento_h,estimativa_tipo = estimativa por tipo_cliente (único valor atual),estimativa_tipo,Derivado,100%,Valor fixo enquanto não houver cronometragem real.
w_peso_aresta,float,"Peso da aresta no grafo bipartido G=(L,V,E). Calculado como Pᶜ × Vt. Representa o valor esperado do lead. Nota: fator de afinidade A(li,vj) não incluído por ausência de dado; assume-se A=1.",valor numérico em R$ esperado,7800.0,Calculado: pc_estimado × vt_estimado_RS,100% (mas herdando incertezas de pc e vt),"Para uso no modelo completo: w = Pᶜ × Vt × A(li,vj). A matrix de afinidade ainda precisa ser definida pela equipe."
